T1	B-Protein	0	14	Retinoblastoma	Retinoblastoma	B-NP	NN	B-protein	3	NMOD	B-protein
O	O	15	22	protein	protein	I-NP	NN	I-protein	3	NMOD	I-protein
O	O	23	33	expression	expression	I-NP	NN	O	4	SUB	O
O	O	34	39	leads	lead	B-VP	VBZ	O	0	ROOT	O
O	O	40	42	to	to	B-PP	TO	O	4	VMOD	O
O	O	43	50	reduced	reduce	B-NP	VBN	O	12	NMOD	O
T2	B-Protein	51	54	Oct	Oct	I-NP	NN	B-protein	12	NMOD	B-protein
T2	I-Protein	54	55	-	-	B-NP	HYPH	I-protein	12	NMOD	I-protein
T2	I-Protein	55	56	1	1	I-NP	CD	I-protein	10	AMOD	I-protein
O	O	57	60	DNA	DNA	I-NP	NN	O	12	NMOD	O
O	O	61	68	binding	binding	I-NP	NN	O	12	NMOD	O
O	O	69	77	activity	activity	I-NP	NN	O	5	PMOD	O
O	O	78	81	and	and	O	CC	O	4	VMOD	O
O	O	82	90	enhances	enhance	B-VP	VBZ	O	4	VMOD	O
T3	B-Protein	91	102	interleukin	interleukin	B-NP	NN	B-protein	18	NMOD	B-protein
T3	I-Protein	102	103	-	-	O	HYPH	I-protein	18	NMOD	I-protein
T3	I-Protein	103	104	8	8	B-NP	CD	I-protein	18	NMOD	I-protein
O	O	105	115	expression	expression	I-NP	NN	O	14	OBJ	O
O	O	115	116	.	.	O	.	O	4	P	O

O	O	118	123	Tumor	Tumor	B-NP	NN	B-cell_line	3	NMOD	B-cell_line
O	O	124	128	cell	cell	I-NP	NN	I-cell_line	3	NMOD	I-cell_line
O	O	129	134	lines	line	I-NP	NNS	I-cell_line	9	SUB	I-cell_line
O	O	135	139	with	with	B-PP	IN	O	3	NMOD	O
O	O	140	141	a	a	B-NP	DT	O	8	NMOD	O
O	O	142	151	defective	defective	I-NP	JJ	O	8	NMOD	O
T4	B-Protein	152	166	retinoblastoma	retinoblastoma	I-NP	NN	B-DNA	8	NMOD	B-DNA
O	O	167	171	gene	gene	I-NP	NN	I-DNA	4	PMOD	I-DNA
O	O	172	175	are	be	B-VP	VBP	O	31	VMOD	O
O	O	176	182	unable	unable	B-ADJP	JJ	O	9	PRD	O
O	O	183	185	to	to	B-VP	TO	O	12	VMOD	O
O	O	186	196	transcribe	transcribe	I-VP	VB	O	10	AMOD	O
O	O	197	200	the	the	B-NP	DT	O	17	NMOD	O
